Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,age,LoanAmountScale,TotalIncome,MonthlyPayment,DebtToIncomeRatio,TotalIncomeCut
Male,No,0,Graduate,No,5849,0.0,360.0,1.0,Urban,Y,45.0,128000.0,5849.0,355.55555555555554,0.060789118747744154,2nd part
Male,Yes,1,Graduate,No,4583,1508.0,360.0,1.0,Rural,N,48.0,128000.0,6091.0,355.55555555555554,0.05837392145059195,2nd part
Male,Yes,0,Graduate,Yes,3000,0.0,360.0,1.0,Urban,Y,34.0,66000.0,3000.0,183.33333333333334,0.061111111111111116,1st part
Male,Yes,0,Not Graduate,No,2583,2358.0,360.0,1.0,Urban,Y,34.0,120000.0,4941.0,333.3333333333333,0.067462726843419,1st part
Male,No,0,Graduate,No,6000,0.0,360.0,1.0,Urban,Y,38.0,141000.0,6000.0,391.6666666666667,0.06527777777777778,2nd part
Male,Yes,2,Graduate,Yes,5417,4196.0,360.0,1.0,Urban,Y,49.0,267000.0,9613.0,741.6666666666666,0.07715246714518534,3rd part
Male,Yes,0,Not Graduate,No,2333,1516.0,360.0,1.0,Urban,Y,51.0,95000.0,3849.0,263.8888888888889,0.06856037643255103,1st part
Male,Yes,3+,Graduate,No,3036,2504.0,360.0,0.0,Semiurban,N,36.0,158000.0,5540.0,438.8888888888889,0.07922182109907742,2nd part
Male,Yes,2,Graduate,No,4006,1526.0,360.0,1.0,Urban,Y,42.0,168000.0,5532.0,466.6666666666667,0.08435767654856592,2nd part
Male,Yes,2,Graduate,No,3200,700.0,360.0,1.0,Urban,Y,57.0,70000.0,3900.0,194.44444444444446,0.04985754985754986,1st part
Male,Yes,2,Graduate,No,2500,1840.0,360.0,1.0,Urban,Y,54.0,109000.0,4340.0,302.77777777777777,0.06976446492575525,1st part
Male,Yes,2,Graduate,No,3073,8106.0,360.0,1.0,Urban,Y,33.0,200000.0,11179.0,555.5555555555555,0.04969635526930455,3rd part
Male,No,0,Graduate,No,1853,2840.0,360.0,1.0,Rural,N,52.0,114000.0,4693.0,316.6666666666667,0.06747638326585695,1st part
Male,Yes,2,Graduate,No,1299,1086.0,120.0,1.0,Urban,Y,32.0,17000.0,2385.0,141.66666666666666,0.0593990216631726,1st part
Male,No,0,Graduate,No,4950,0.0,360.0,1.0,Urban,Y,49.0,125000.0,4950.0,347.22222222222223,0.07014590347923681,1st part
Male,No,1,Not Graduate,No,3596,0.0,240.0,1.0,Urban,Y,47.0,100000.0,3596.0,416.6666666666667,0.11586948461253245,1st part
Female,No,0,Graduate,No,3510,0.0,360.0,0.0,Urban,N,57.0,76000.0,3510.0,211.11111111111111,0.06014561570117126,1st part
Male,Yes,0,Not Graduate,No,4887,0.0,360.0,1.0,Rural,N,51.0,133000.0,4887.0,369.44444444444446,0.07559738990064344,1st part
Male,Yes,0,Graduate,No,2600,3500.0,360.0,1.0,Urban,Y,41.0,115000.0,6100.0,319.44444444444446,0.05236794171220401,2nd part
Male,Yes,0,Not Graduate,No,7660,0.0,360.0,0.0,Urban,N,37.0,104000.0,7660.0,288.8888888888889,0.037713954163040325,2nd part
Male,Yes,1,Graduate,No,5955,5625.0,360.0,1.0,Urban,Y,32.0,315000.0,11580.0,875.0,0.07556131260794473,3rd part
Male,Yes,0,Not Graduate,No,2600,1911.0,360.0,0.0,Semiurban,N,49.0,116000.0,4511.0,322.22222222222223,0.07143033079632503,1st part
Male,Yes,2,Not Graduate,No,3365,1917.0,360.0,0.0,Rural,N,46.0,112000.0,5282.0,311.1111111111111,0.058900248222474645,1st part
Male,Yes,1,Graduate,No,3717,2925.0,360.0,1.0,Semiurban,N,56.0,151000.0,6642.0,419.44444444444446,0.0631503228612533,2nd part
Male,Yes,0,Graduate,Yes,9560,0.0,360.0,1.0,Semiurban,Y,46.0,191000.0,9560.0,530.5555555555555,0.055497443049744306,3rd part
Male,Yes,0,Graduate,No,2799,2253.0,360.0,1.0,Semiurban,Y,32.0,122000.0,5052.0,338.8888888888889,0.06708014427729393,1st part
Male,Yes,2,Not Graduate,No,4226,1040.0,360.0,1.0,Urban,Y,47.0,110000.0,5266.0,305.55555555555554,0.05802422247541883,1st part
Male,No,0,Not Graduate,No,1442,0.0,360.0,1.0,Urban,N,32.0,35000.0,1442.0,97.22222222222223,0.0674217907227616,1st part
Female,No,2,Graduate,No,3750,2083.0,360.0,1.0,Semiurban,Y,57.0,120000.0,5833.0,333.3333333333333,0.05714612263557917,2nd part
Male,Yes,1,Graduate,No,4166,3369.0,360.0,1.0,Urban,N,57.0,201000.0,7535.0,558.3333333333334,0.07409865074098651,2nd part
Male,No,0,Graduate,No,3167,0.0,360.0,1.0,Urban,N,33.0,74000.0,3167.0,205.55555555555554,0.0649054485492755,1st part
Male,No,1,Graduate,Yes,4692,0.0,360.0,1.0,Rural,N,53.0,106000.0,4692.0,294.44444444444446,0.0627545704272047,1st part
Male,Yes,0,Graduate,No,3500,1667.0,360.0,1.0,Semiurban,Y,51.0,114000.0,5167.0,316.6666666666667,0.06128636862137927,1st part
Male,No,3+,Graduate,No,12500,3000.0,360.0,1.0,Rural,N,40.0,320000.0,15500.0,888.8888888888889,0.05734767025089606,4th part
Male,Yes,0,Graduate,No,2275,2067.0,360.0,1.0,Urban,Y,46.0,128000.0,4342.0,355.55555555555554,0.08188750703720764,1st part
Male,Yes,0,Graduate,No,1828,1330.0,360.0,0.0,Urban,N,40.0,100000.0,3158.0,277.77777777777777,0.08796003096193089,1st part
Female,Yes,0,Graduate,No,3667,1459.0,360.0,1.0,Semiurban,Y,36.0,144000.0,5126.0,400.0,0.07803355442840422,1st part
Male,No,0,Graduate,No,4166,7210.0,360.0,1.0,Urban,Y,32.0,184000.0,11376.0,511.1111111111111,0.0449288951398656,3rd part
Male,No,0,Not Graduate,No,3748,1668.0,360.0,1.0,Semiurban,Y,48.0,110000.0,5416.0,305.55555555555554,0.056417200065649105,2nd part
Male,No,0,Graduate,No,3600,0.0,360.0,1.0,Urban,N,52.0,80000.0,3600.0,222.22222222222223,0.0617283950617284,1st part
Male,No,0,Graduate,No,1800,1213.0,360.0,1.0,Urban,Y,36.0,47000.0,3013.0,130.55555555555554,0.04333075192683556,1st part
Male,Yes,0,Graduate,No,2400,0.0,360.0,1.0,Urban,Y,49.0,75000.0,2400.0,208.33333333333334,0.08680555555555557,1st part
Male,Yes,0,Graduate,No,3941,2336.0,360.0,1.0,Semiurban,Y,55.0,134000.0,6277.0,372.22222222222223,0.05929938222434638,2nd part
Male,Yes,0,Not Graduate,Yes,4695,0.0,360.0,1.0,Urban,Y,35.0,96000.0,4695.0,266.6666666666667,0.05679801206957757,1st part
Female,No,0,Graduate,No,3410,0.0,360.0,1.0,Urban,Y,34.0,88000.0,3410.0,244.44444444444446,0.07168458781362008,1st part
Male,Yes,1,Graduate,No,5649,0.0,360.0,1.0,Urban,Y,52.0,44000.0,5649.0,122.22222222222223,0.02163608111563502,2nd part
Male,Yes,0,Graduate,No,5821,0.0,360.0,1.0,Urban,Y,39.0,144000.0,5821.0,400.0,0.0687167153410067,2nd part
Female,Yes,0,Graduate,No,2645,3440.0,360.0,0.0,Urban,N,54.0,120000.0,6085.0,333.3333333333333,0.05477951246233908,2nd part
Female,No,0,Graduate,No,4000,2275.0,360.0,1.0,Semiurban,Y,34.0,144000.0,6275.0,400.0,0.06374501992031872,2nd part
Female,Yes,0,Not Graduate,No,1928,1644.0,360.0,1.0,Semiurban,Y,52.0,100000.0,3572.0,277.77777777777777,0.07776533532412591,1st part
Female,No,0,Graduate,No,3086,0.0,360.0,1.0,Semiurban,Y,47.0,120000.0,3086.0,333.3333333333333,0.1080146899978397,1st part
Female,No,0,Graduate,No,4230,0.0,360.0,1.0,Semiurban,N,56.0,112000.0,4230.0,311.1111111111111,0.07354872603099553,1st part
Male,Yes,2,Graduate,No,4616,0.0,360.0,1.0,Urban,N,46.0,134000.0,4616.0,372.22222222222223,0.08063739649528211,1st part
Female,Yes,1,Graduate,Yes,11500,0.0,360.0,0.0,Urban,N,43.0,286000.0,11500.0,794.4444444444445,0.06908212560386473,3rd part
Male,Yes,2,Graduate,No,2708,1167.0,360.0,1.0,Semiurban,Y,56.0,97000.0,3875.0,269.44444444444446,0.06953405017921148,1st part
Male,Yes,0,Graduate,No,2132,1591.0,360.0,1.0,Semiurban,Y,48.0,96000.0,3723.0,266.6666666666667,0.07162682424568001,1st part
Male,Yes,0,Graduate,No,3366,2200.0,360.0,1.0,Rural,N,39.0,135000.0,5566.0,375.0,0.06737333812432626,2nd part
Male,Yes,1,Graduate,No,8080,2250.0,360.0,1.0,Urban,Y,39.0,180000.0,10330.0,500.0,0.0484027105517909,3rd part
Male,Yes,2,Not Graduate,No,3357,2859.0,360.0,1.0,Urban,Y,41.0,144000.0,6216.0,400.0,0.06435006435006435,2nd part
Male,Yes,0,Graduate,No,2500,3796.0,360.0,1.0,Urban,Y,35.0,120000.0,6296.0,333.3333333333333,0.05294366793731469,2nd part
Male,Yes,3+,Graduate,No,3029,0.0,360.0,1.0,Urban,Y,52.0,99000.0,3029.0,275.0,0.09078903928689336,1st part
Male,Yes,0,Not Graduate,Yes,2609,3449.0,180.0,0.0,Rural,N,57.0,165000.0,6058.0,916.6666666666666,0.1513150654781556,2nd part
Male,Yes,1,Graduate,No,4945,0.0,360.0,0.0,Rural,N,47.0,128000.0,4945.0,355.55555555555554,0.07190203347938434,1st part
Female,No,0,Graduate,No,4166,0.0,360.0,0.0,Semiurban,N,44.0,116000.0,4166.0,322.22222222222223,0.0773457086467168,1st part
Male,Yes,0,Graduate,No,5726,4595.0,360.0,1.0,Semiurban,N,34.0,258000.0,10321.0,716.6666666666666,0.06943771598359331,3rd part
Male,No,0,Not Graduate,No,3200,2254.0,180.0,0.0,Urban,N,32.0,126000.0,5454.0,700.0,0.12834616795012835,2nd part
Male,Yes,1,Graduate,No,10750,0.0,360.0,1.0,Urban,Y,38.0,312000.0,10750.0,866.6666666666666,0.08062015503875969,3rd part
Male,Yes,3+,Not Graduate,Yes,7100,0.0,60.0,1.0,Urban,Y,33.0,125000.0,7100.0,2083.3333333333335,0.2934272300469484,2nd part
Female,No,0,Graduate,No,4300,0.0,360.0,0.0,Semiurban,N,32.0,136000.0,4300.0,377.77777777777777,0.08785529715762273,1st part
Male,Yes,0,Graduate,No,3208,3066.0,360.0,1.0,Urban,Y,53.0,172000.0,6274.0,477.77777777777777,0.07615202068501399,2nd part
Male,Yes,2,Not Graduate,Yes,1875,1875.0,360.0,1.0,Semiurban,Y,54.0,97000.0,3750.0,269.44444444444446,0.07185185185185186,1st part
Male,No,0,Graduate,No,3500,0.0,300.0,1.0,Semiurban,Y,34.0,81000.0,3500.0,270.0,0.07714285714285714,1st part
Male,Yes,3+,Not Graduate,No,4755,0.0,360.0,0.0,Semiurban,N,41.0,95000.0,4755.0,263.8888888888889,0.055497137516064964,1st part
Male,Yes,3+,Graduate,Yes,5266,1774.0,360.0,1.0,Semiurban,Y,33.0,187000.0,7040.0,519.4444444444445,0.07378472222222222,2nd part
Male,No,0,Graduate,No,3750,0.0,480.0,1.0,Urban,N,41.0,113000.0,3750.0,235.41666666666666,0.06277777777777778,1st part
Male,No,0,Graduate,No,3750,4750.0,360.0,1.0,Urban,N,44.0,176000.0,8500.0,488.8888888888889,0.05751633986928105,2nd part
Male,Yes,1,Graduate,Yes,1000,3022.0,360.0,1.0,Urban,N,42.0,110000.0,4022.0,305.55555555555554,0.07597104812420576,1st part
Male,Yes,3+,Graduate,No,3167,4000.0,300.0,0.0,Semiurban,N,37.0,180000.0,7167.0,600.0,0.08371703641691085,2nd part
Male,Yes,3+,Not Graduate,Yes,3333,2166.0,360.0,1.0,Semiurban,Y,44.0,130000.0,5499.0,361.1111111111111,0.06566850538481744,2nd part
Female,No,0,Graduate,No,3846,0.0,360.0,1.0,Semiurban,Y,40.0,111000.0,3846.0,308.3333333333333,0.08016987346160513,1st part
Male,Yes,1,Graduate,Yes,2395,0.0,360.0,1.0,Semiurban,Y,35.0,128000.0,2395.0,355.55555555555554,0.14845743446996057,1st part
Female,Yes,2,Graduate,No,1378,1881.0,360.0,1.0,Urban,N,35.0,167000.0,3259.0,463.8888888888889,0.1423408680235928,1st part
Male,Yes,0,Graduate,No,6000,2250.0,360.0,1.0,Semiurban,N,37.0,265000.0,8250.0,736.1111111111111,0.08922558922558922,2nd part
Male,Yes,1,Graduate,No,3988,0.0,240.0,1.0,Urban,Y,42.0,50000.0,3988.0,208.33333333333334,0.05224005349381478,1st part
Male,No,0,Graduate,No,2366,2531.0,360.0,1.0,Semiurban,Y,37.0,136000.0,4897.0,377.77777777777777,0.07714473714065301,1st part
Male,Yes,2,Not Graduate,No,3333,2000.0,360.0,1.0,Semiurban,Y,32.0,99000.0,5333.0,275.0,0.0515657228576786,2nd part
Male,Yes,0,Graduate,No,2500,2118.0,360.0,1.0,Semiurban,Y,43.0,104000.0,4618.0,288.8888888888889,0.062557143544584,1st part
Male,No,0,Graduate,No,8566,0.0,360.0,1.0,Urban,Y,34.0,210000.0,8566.0,583.3333333333334,0.0680986847225465,2nd part
Male,Yes,0,Graduate,No,5695,4167.0,360.0,1.0,Semiurban,Y,42.0,175000.0,9862.0,486.1111111111111,0.049291331485612565,3rd part
Male,Yes,0,Graduate,No,2958,2900.0,360.0,1.0,Semiurban,Y,54.0,131000.0,5858.0,363.8888888888889,0.0621182807935966,2nd part
Male,Yes,2,Graduate,No,6250,5654.0,180.0,1.0,Semiurban,Y,45.0,188000.0,11904.0,1044.4444444444443,0.0877389486260454,3rd part
Male,Yes,2,Not Graduate,No,3273,1820.0,360.0,1.0,Urban,Y,50.0,81000.0,5093.0,225.0,0.04417828391910465,1st part
Male,No,0,Graduate,No,4133,0.0,360.0,1.0,Semiurban,Y,36.0,122000.0,4133.0,338.8888888888889,0.08199585988117322,1st part
Male,No,0,Not Graduate,No,3620,0.0,120.0,1.0,Semiurban,Y,47.0,25000.0,3620.0,208.33333333333334,0.05755064456721916,1st part
Male,No,0,Graduate,No,6782,0.0,360.0,1.0,Urban,N,37.0,128000.0,6782.0,355.55555555555554,0.05242635735115829,2nd part
Female,Yes,0,Graduate,No,2484,2302.0,360.0,1.0,Semiurban,Y,43.0,137000.0,4786.0,380.55555555555554,0.07951432418628407,1st part
Male,Yes,0,Graduate,No,1977,997.0,360.0,1.0,Semiurban,Y,44.0,50000.0,2974.0,138.88888888888889,0.04670103863109915,1st part
Male,Yes,0,Not Graduate,No,4188,0.0,180.0,1.0,Semiurban,Y,52.0,115000.0,4188.0,638.8888888888889,0.1525522657327815,1st part
Male,Yes,0,Graduate,No,1759,3541.0,360.0,1.0,Semiurban,Y,38.0,131000.0,5300.0,363.8888888888889,0.06865828092243187,2nd part
Male,Yes,2,Not Graduate,No,4288,3263.0,180.0,1.0,Urban,Y,45.0,133000.0,7551.0,738.8888888888889,0.09785311732073751,2nd part
Male,No,0,Graduate,No,4843,3806.0,360.0,1.0,Semiurban,Y,51.0,151000.0,8649.0,419.44444444444446,0.048496293726956234,2nd part
Male,Yes,0,Graduate,No,13650,0.0,360.0,1.0,Urban,Y,48.0,128000.0,13650.0,355.55555555555554,0.026048026048026047,4th part
Male,Yes,0,Graduate,No,4652,3583.0,360.0,1.0,Semiurban,Y,38.0,128000.0,8235.0,355.55555555555554,0.04317614517978816,2nd part
Male,Yes,0,Graduate,No,3816,754.0,360.0,1.0,Urban,Y,46.0,160000.0,4570.0,444.44444444444446,0.09725261366399222,1st part
Male,Yes,1,Graduate,No,3052,1030.0,360.0,1.0,Urban,Y,52.0,100000.0,4082.0,277.77777777777777,0.06804943110675594,1st part
Male,Yes,2,Graduate,No,11417,1126.0,360.0,1.0,Urban,Y,39.0,225000.0,12543.0,625.0,0.049828589651598504,3rd part
Male,No,0,Not Graduate,No,7333,0.0,360.0,1.0,Rural,N,50.0,120000.0,7333.0,333.3333333333333,0.04545661166416655,2nd part
Male,Yes,2,Graduate,No,3800,3600.0,360.0,0.0,Urban,N,34.0,216000.0,7400.0,600.0,0.08108108108108109,2nd part
Male,Yes,3+,Not Graduate,No,2071,754.0,480.0,1.0,Semiurban,Y,43.0,94000.0,2825.0,195.83333333333334,0.06932153392330384,1st part
Male,No,0,Graduate,No,5316,0.0,360.0,1.0,Urban,Y,54.0,136000.0,5316.0,377.77777777777777,0.07106429228325391,2nd part
Female,Yes,0,Graduate,No,2929,2333.0,360.0,1.0,Semiurban,Y,39.0,139000.0,5262.0,386.1111111111111,0.07337725410701465,1st part
Male,Yes,0,Not Graduate,No,3572,4114.0,360.0,0.0,Rural,N,68.0,152000.0,7686.0,422.22222222222223,0.05493393471535548,2nd part
Female,No,1,Graduate,Yes,7451,0.0,360.0,1.0,Semiurban,Y,33.0,128000.0,7451.0,355.55555555555554,0.04771917266884385,2nd part
Male,No,0,Graduate,No,5050,0.0,360.0,1.0,Semiurban,Y,43.0,118000.0,5050.0,327.77777777777777,0.06490649064906491,1st part
Male,Yes,1,Graduate,No,14583,0.0,180.0,1.0,Rural,Y,37.0,185000.0,14583.0,1027.7777777777778,0.07047780139736527,4th part
Female,Yes,0,Graduate,No,3167,2283.0,360.0,1.0,Semiurban,Y,55.0,154000.0,5450.0,427.77777777777777,0.07849133537206932,2nd part
Male,Yes,1,Graduate,No,2214,1398.0,360.0,1.0,Urban,Y,57.0,85000.0,3612.0,236.11111111111111,0.06536852467085025,1st part
Male,Yes,0,Graduate,No,5568,2142.0,360.0,1.0,Rural,N,80.0,175000.0,7710.0,486.1111111111111,0.0630494307537109,2nd part
Female,No,0,Graduate,No,10408,0.0,360.0,1.0,Urban,Y,50.0,259000.0,10408.0,719.4444444444445,0.06912417798274831,3rd part
Male,Yes,0,Graduate,No,5667,2667.0,360.0,1.0,Rural,Y,52.0,180000.0,8334.0,500.0,0.059995200383969285,2nd part
Female,No,0,Graduate,No,4166,0.0,360.0,1.0,Semiurban,Y,56.0,44000.0,4166.0,122.22222222222223,0.02933802741772017,1st part
Female,No,0,Graduate,No,2137,8980.0,360.0,0.0,Semiurban,Y,49.0,137000.0,11117.0,380.55555555555554,0.03423185711572866,3rd part
Male,Yes,2,Graduate,No,2957,0.0,360.0,1.0,Semiurban,Y,44.0,81000.0,2957.0,225.0,0.07609063239770038,1st part
Male,Yes,0,Not Graduate,No,4300,2014.0,360.0,1.0,Rural,Y,50.0,194000.0,6314.0,538.8888888888889,0.0853482560799634,2nd part
Female,No,0,Graduate,No,3692,0.0,360.0,1.0,Rural,Y,49.0,93000.0,3692.0,258.3333333333333,0.06997110870350307,1st part
Male,No,0,Graduate,No,3865,1640.0,360.0,1.0,Rural,Y,51.0,128000.0,5505.0,355.55555555555554,0.06458774851145423,2nd part
Male,Yes,1,Graduate,Yes,10513,3850.0,180.0,0.0,Urban,N,78.0,160000.0,14363.0,888.8888888888889,0.06188741132694346,4th part
Male,Yes,0,Graduate,No,6080,2569.0,360.0,1.0,Rural,N,80.0,182000.0,8649.0,505.55555555555554,0.058452486478847904,2nd part
Male,No,0,Graduate,No,2014,1929.0,360.0,1.0,Urban,Y,53.0,74000.0,3943.0,205.55555555555554,0.05213176656240313,1st part
Male,No,0,Graduate,No,2718,0.0,360.0,1.0,Semiurban,Y,41.0,70000.0,2718.0,194.44444444444446,0.0715395307006786,1st part
Male,Yes,0,Graduate,Yes,3459,0.0,120.0,1.0,Semiurban,Y,48.0,25000.0,3459.0,208.33333333333334,0.06022935337766214,1st part
Male,No,0,Graduate,No,4895,0.0,360.0,1.0,Semiurban,Y,56.0,102000.0,4895.0,283.3333333333333,0.057882192713653385,1st part
Male,Yes,3+,Graduate,No,4000,7750.0,360.0,1.0,Semiurban,N,70.0,290000.0,11750.0,805.5555555555555,0.06855791962174941,3rd part
Female,Yes,0,Graduate,No,4583,0.0,360.0,1.0,Rural,N,80.0,84000.0,4583.0,233.33333333333334,0.05091279365772056,1st part
Male,Yes,2,Graduate,Yes,3316,3500.0,360.0,1.0,Urban,Y,49.0,88000.0,6816.0,244.44444444444446,0.035863328116849245,2nd part
Male,No,0,Graduate,No,14999,0.0,360.0,0.0,Semiurban,N,83.0,242000.0,14999.0,672.2222222222222,0.04481780266832603,4th part
Male,Yes,2,Not Graduate,No,4200,1430.0,360.0,1.0,Rural,N,75.0,129000.0,5630.0,358.3333333333333,0.06364712847838958,2nd part
Male,Yes,2,Graduate,No,5042,2083.0,360.0,1.0,Rural,N,63.0,185000.0,7125.0,513.8888888888889,0.07212475633528266,2nd part
Male,No,0,Graduate,No,5417,0.0,360.0,1.0,Urban,Y,54.0,168000.0,5417.0,466.6666666666667,0.08614854470494124,2nd part
Male,No,0,Graduate,Yes,6950,0.0,180.0,1.0,Semiurban,Y,35.0,175000.0,6950.0,972.2222222222222,0.13988808952837728,2nd part
Male,Yes,0,Graduate,No,2698,2034.0,360.0,1.0,Semiurban,Y,35.0,122000.0,4732.0,338.8888888888889,0.07161641777026392,1st part
Male,Yes,2,Graduate,No,11757,0.0,180.0,1.0,Urban,Y,43.0,187000.0,11757.0,1038.888888888889,0.08836343360456655,3rd part
Female,Yes,0,Graduate,No,2330,4486.0,360.0,1.0,Semiurban,Y,53.0,100000.0,6816.0,277.77777777777777,0.040753781950965046,2nd part
Female,Yes,2,Graduate,No,14866,0.0,360.0,1.0,Urban,Y,57.0,70000.0,14866.0,194.44444444444446,0.01307980925901012,4th part
Male,Yes,1,Graduate,No,1538,1425.0,360.0,1.0,Urban,Y,39.0,30000.0,2963.0,83.33333333333333,0.028124648441894474,1st part
